agent_id,item_id,domain,subdomain,tier,n_reps,n_successes,s,y,total_prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_latency_s,mean_latency_s,n_partial,n_fail,n_yes,n_no,n_null,n_empty_response,s_partial_weighted,grader_type
llama-70b,AF-TOL-1,AF,TOL,1,5,5,1.0,2,390,111,0,21.543,4.309,0,0,0,0,0,0,1.0,
gemma-3-4b-free,CM-REC-4,CM,REC,4,5,0,0.0,0,1515,0,0,9.782,1.956,0,0,0,0,0,0,0.0,
gemma-3-4b-free,CM-EXP-4,CM,EXP,4,5,0,0.0,0,965,0,0,57.948,11.59,0,0,0,0,0,0,0.0,
gemma-3-4b-free,AF-AFD-6,AF,AFD,5,5,5,1.0,2,1565,0,0,63.984,12.797,0,0,0,0,0,0,1.0,
gemma-3-4b-free,DLS-PER-3,DLS,PER,3,5,5,1.0,2,610,0,0,78.511,15.702,0,0,0,0,0,0,1.0,
gemma-3-4b-free,DLS-PER-5,DLS,PER,5,5,5,1.0,2,1220,0,0,114.226,22.845,0,0,0,0,0,0,1.0,
gemma-3-4b-free,SOC-IPR-4,SOC,IPR,4,5,5,1.0,2,1330,0,0,56.324,11.265,0,0,0,0,0,0,1.0,
gemma-3-4b-free,SOC-COP-4,SOC,COP,4,5,5,1.0,2,1215,0,0,13.599,2.72,0,0,0,0,0,0,1.0,
gemma-3-4b-free,AF-WMM-2,AF,WMM,1,5,5,1.0,2,520,0,0,11.667,2.333,0,0,0,0,0,0,1.0,
gemma-3-12b-free,CM-REC-4,CM,REC,4,1,0,0.0,0,303,0,0,6.317,1.263,0,0,0,0,4,0,0.0,
gemma-3-12b-free,DLS-PER-3,DLS,PER,3,4,4,1.0,2,488,0,0,84.524,16.905,0,0,0,0,1,0,1.0,
gemma-3-12b-free,DLS-PER-5,DLS,PER,5,3,3,1.0,2,732,0,0,107.16,21.432,0,0,0,0,2,0,1.0,
gemma-3-12b-free,AF-AFD-6,AF,AFD,5,1,1,1.0,2,313,0,0,20.803,4.161,0,0,0,0,4,0,1.0,
gemma-4-31b-it-free,DLS-DOM-2,DLS,DOM,2,3,3,1.0,2,138,118,0,5.708,1.142,0,0,0,0,2,0,1.0,
gemma-4-31b-it-free,CM-REC-4,CM,REC,4,2,0,0.0,0,610,120,0,5.353,1.071,0,0,0,0,3,0,0.0,
gemma-4-31b-it-free,CM-EXP-4,CM,EXP,4,4,0,0.0,0,776,1927,0,57.073,11.415,0,0,0,0,1,0,0.0,
gemma-4-31b-it-free,AF-AFD-6,AF,AFD,5,3,3,1.0,2,948,1540,0,45.196,9.039,0,0,0,0,2,0,1.0,
gemma-4-31b-it-free,CM-EXP-3,CM,EXP,1,3,3,1.0,2,153,77,0,4.625,0.925,0,0,0,0,2,0,1.0,
gemma-4-31b-it-free,DLS-PER-3,DLS,PER,3,3,3,1.0,2,366,1578,0,46.399,9.28,0,0,0,0,2,0,1.0,
gemma-4-31b-it-free,DLS-PER-5,DLS,PER,5,3,3,1.0,2,732,2501,0,71.882,14.376,0,0,0,0,2,0,1.0,
